JAX Backend: gpu
JAX Devices: [CudaDevice(id=0)]

Loaded config from: /home/kraghavan/projects/ContLearn/runs__/configs/sine_noise_condition3_arch_no_transfer.json
Problem type: regression
Dataset: sine
Tasks: 5
AWB enabled: True

Output directory: /home/kraghavan/projects/ContLearn/runs__/experiments/sine_noise/results/sine_noise_condition3_arch_no_transfer_run2
Model path: /home/kraghavan/projects/ContLearn/runs__/experiments/sine_noise/results/sine_noise_condition3_arch_no_transfer_run2/sine_noise_condition3_arch_no_transfer_run2


############################################################
# Run ID: 2
############################################################

============================================================
Task 0
============================================================
  Note: Batch size capped from 1024 to 800 due to small dataset size (800 samples)
  Note: Batch size capped from 1024 to 800 due to small dataset size (800 samples)
Standard CL training (lr=0.000100, adaptive_lr_min=1.00e-06, loss_ratio=1.00)
[DEBUG] PrefetchDataLoader initialized with device: cuda:0
[DEBUG] All available JAX devices: [CudaDevice(id=0)]
[DEBUG] PrefetchDataLoader initialized with device: cuda:0
[DEBUG] All available JAX devices: [CudaDevice(id=0)]

  0%|          | 0/500 [00:00<?, ?it/s]
  0%|          | 1/500 [00:07<1:05:02,  7.82s/it]
  0%|          | 1/500 [00:07<1:05:02,  7.82s/it, MSE=2.904346e-01 H=2.360387e-01 dV_dx=4.674072e-07 dV_dθ=-5.439643e-02 ||∇||=1.770934e+00 | Tr=0.2821]
  0%|          | 2/500 [00:07<27:29,  3.31s/it, MSE=2.904346e-01 H=2.360387e-01 dV_dx=4.674072e-07 dV_dθ=-5.439643e-02 ||∇||=1.770934e+00 | Tr=0.2821]  
  0%|          | 2/500 [00:08<27:29,  3.31s/it, MSE=2.659422e-01 H=2.170556e-01 dV_dx=1.016268e-06 dV_dθ=-4.888760e-02 ||∇||=1.678849e+00 | Tr=0.2581]
  1%|          | 3/500 [00:08<16:06,  1.95s/it, MSE=2.659422e-01 H=2.170556e-01 dV_dx=1.016268e-06 dV_dθ=-4.888760e-02 ||∇||=1.678849e+00 | Tr=0.2581]
  1%|          | 3/500 [00:08<16:06,  1.95s/it, MSE=2.430000e-01 H=1.992626e-01 dV_dx=5.543643e-07 dV_dθ=-4.373797e-02 ||∇||=1.587950e+00 | Tr=0.2357]
  1%|          | 4/500 [00:08<10:33,  1.28s/it, MSE=2.430000e-01 H=1.992626e-01 dV_dx=5.543643e-07 dV_dθ=-4.373797e-02 ||∇||=1.587950e+00 | Tr=0.2357]
  1%|          | 4/500 [00:08<10:33,  1.28s/it, MSE=2.216296e-01 H=1.826694e-01 dV_dx=-5.829915e-07 dV_dθ=-3.895966e-02 ||∇||=1.498687e+00 | Tr=0.2149]
  1%|          | 5/500 [00:08<07:38,  1.08it/s, MSE=2.216296e-01 H=1.826694e-01 dV_dx=-5.829915e-07 dV_dθ=-3.895966e-02 ||∇||=1.498687e+00 | Tr=0.2149]
  1%|          | 5/500 [00:09<07:38,  1.08it/s, MSE=2.018334e-01 H=1.672756e-01 dV_dx=-4.487505e-07 dV_dθ=-3.455735e-02 ||∇||=1.411465e+00 | Tr=0.1956]
  1%|          | 6/500 [00:09<05:38,  1.46it/s, MSE=2.018334e-01 H=1.672756e-01 dV_dx=-4.487505e-07 dV_dθ=-3.455735e-02 ||∇||=1.411465e+00 | Tr=0.1956]
  1%|          | 6/500 [00:09<05:38,  1.46it/s, MSE=1.835941e-01 H=1.530652e-01 dV_dx=1.019413e-06 dV_dθ=-3.052989e-02 ||∇||=1.326660e+00 | Tr=0.1779] 
  1%|▏         | 7/500 [00:09<04:23,  1.87it/s, MSE=1.835941e-01 H=1.530652e-01 dV_dx=1.019413e-06 dV_dθ=-3.052989e-02 ||∇||=1.326660e+00 | Tr=0.1779]
  1%|▏         | 7/500 [00:09<04:23,  1.87it/s, MSE=1.668744e-01 H=1.400043e-01 dV_dx=2.583071e-07 dV_dθ=-2.687027e-02 ||∇||=1.244605e+00 | Tr=0.1617]
  2%|▏         | 8/500 [00:09<03:43,  2.20it/s, MSE=1.668744e-01 H=1.400043e-01 dV_dx=2.583071e-07 dV_dθ=-2.687027e-02 ||∇||=1.244605e+00 | Tr=0.1617]
  2%|▏         | 8/500 [00:09<03:43,  2.20it/s, MSE=1.516198e-01 H=1.280552e-01 dV_dx=7.241152e-07 dV_dθ=-2.356529e-02 ||∇||=1.165550e+00 | Tr=0.1469]
  2%|▏         | 9/500 [00:09<03:04,  2.66it/s, MSE=1.516198e-01 H=1.280552e-01 dV_dx=7.241152e-07 dV_dθ=-2.356529e-02 ||∇||=1.165550e+00 | Tr=0.1469]
  2%|▏         | 9/500 [00:10<03:04,  2.66it/s, MSE=1.377626e-01 H=1.171661e-01 dV_dx=8.111360e-08 dV_dθ=-2.059662e-02 ||∇||=1.089665e+00 | Tr=0.1335]
  2%|▏         | 10/500 [00:10<02:51,  2.86it/s, MSE=1.377626e-01 H=1.171661e-01 dV_dx=8.111360e-08 dV_dθ=-2.059662e-02 ||∇||=1.089665e+00 | Tr=0.1335]
  2%|▏         | 10/500 [00:10<02:51,  2.86it/s, MSE=1.252260e-01 H=1.072843e-01 dV_dx=7.904556e-07 dV_dθ=-1.794251e-02 ||∇||=1.017039e+00 | Tr=0.1214]
  2%|▏         | 11/500 [00:10<02:33,  3.19it/s, MSE=1.252260e-01 H=1.072843e-01 dV_dx=7.904556e-07 dV_dθ=-1.794251e-02 ||∇||=1.017039e+00 | Tr=0.1214]
  2%|▏         | 11/500 [00:10<02:33,  3.19it/s, MSE=1.139277e-01 H=9.834932e-02 dV_dx=8.213770e-07 dV_dθ=-1.557923e-02 ||∇||=9.477011e-01 | Tr=0.1105]
  2%|▏         | 12/500 [00:10<02:16,  3.56it/s, MSE=1.139277e-01 H=9.834932e-02 dV_dx=8.213770e-07 dV_dθ=-1.557923e-02 ||∇||=9.477011e-01 | Tr=0.1105]
  2%|▏         | 12/500 [00:10<02:16,  3.56it/s, MSE=1.037833e-01 H=9.030048e-02 dV_dx=-4.451366e-07 dV_dθ=-1.348242e-02 ||∇||=8.816290e-01 | Tr=0.1008]
  3%|▎         | 13/500 [00:10<02:16,  3.57it/s, MSE=1.037833e-01 H=9.030048e-02 dV_dx=-4.451366e-07 dV_dθ=-1.348242e-02 ||∇||=8.816290e-01 | Tr=0.1008]
  3%|▎         | 13/500 [00:11<02:16,  3.57it/s, MSE=9.470914e-02 H=8.308114e-02 dV_dx=1.674376e-07 dV_dθ=-1.162817e-02 ||∇||=8.187712e-01 | Tr=0.0920] 
  3%|▎         | 14/500 [00:11<02:13,  3.64it/s, MSE=9.470914e-02 H=8.308114e-02 dV_dx=1.674376e-07 dV_dθ=-1.162817e-02 ||∇||=8.187712e-01 | Tr=0.0920]
  3%|▎         | 14/500 [00:11<02:13,  3.64it/s, MSE=8.662355e-02 H=7.662980e-02 dV_dx=-2.279921e-08 dV_dθ=-9.993729e-03 ||∇||=7.590624e-01 | Tr=0.0843]
  3%|▎         | 15/500 [00:11<02:11,  3.69it/s, MSE=8.662355e-02 H=7.662980e-02 dV_dx=-2.279921e-08 dV_dθ=-9.993729e-03 ||∇||=7.590624e-01 | Tr=0.0843]
  3%|▎         | 15/500 [00:11<02:11,  3.69it/s, MSE=7.944801e-02 H=7.089009e-02 dV_dx=2.388320e-08 dV_dθ=-8.557948e-03 ||∇||=7.024377e-01 | Tr=0.0774] 
  3%|▎         | 16/500 [00:11<02:10,  3.72it/s, MSE=7.944801e-02 H=7.089009e-02 dV_dx=2.388320e-08 dV_dθ=-8.557948e-03 ||∇||=7.024377e-01 | Tr=0.0774]
  3%|▎         | 16/500 [00:11<02:10,  3.72it/s, MSE=7.310712e-02 H=6.580632e-02 dV_dx=5.730719e-07 dV_dθ=-7.301372e-03 ||∇||=6.488402e-01 | Tr=0.0713]
  3%|▎         | 17/500 [00:11<02:08,  3.77it/s, MSE=7.310712e-02 H=6.580632e-02 dV_dx=5.730719e-07 dV_dθ=-7.301372e-03 ||∇||=6.488402e-01 | Tr=0.0713]
  3%|▎         | 17/500 [00:12<02:08,  3.77it/s, MSE=6.752857e-02 H=6.132288e-02 dV_dx=4.644264e-07 dV_dθ=-6.206152e-03 ||∇||=5.982235e-01 | Tr=0.0660]
  4%|▎         | 18/500 [00:12<02:08,  3.75it/s, MSE=6.752857e-02 H=6.132288e-02 dV_dx=4.644264e-07 dV_dθ=-6.206152e-03 ||∇||=5.982235e-01 | Tr=0.0660]
  4%|▎         | 18/500 [00:12<02:08,  3.75it/s, MSE=6.264304e-02 H=5.738687e-02 dV_dx=-3.237103e-07 dV_dθ=-5.255849e-03 ||∇||=5.505490e-01 | Tr=0.0613]
  4%|▍         | 19/500 [00:12<02:05,  3.83it/s, MSE=6.264304e-02 H=5.738687e-02 dV_dx=-3.237103e-07 dV_dθ=-5.255849e-03 ||∇||=5.505490e-01 | Tr=0.0613]
  4%|▍         | 19/500 [00:12<02:05,  3.83it/s, MSE=5.838413e-02 H=5.394877e-02 dV_dx=-1.268485e-07 dV_dθ=-4.435226e-03 ||∇||=5.057800e-01 | Tr=0.0572]
  4%|▍         | 20/500 [00:12<02:06,  3.80it/s, MSE=5.838413e-02 H=5.394877e-02 dV_dx=-1.268485e-07 dV_dθ=-4.435226e-03 ||∇||=5.057800e-01 | Tr=0.0572]
  4%|▍         | 20/500 [00:12<02:06,  3.80it/s, MSE=5.468844e-02 H=5.095798e-02 dV_dx=-3.601039e-07 dV_dθ=-3.730096e-03 ||∇||=4.638757e-01 | Tr=0.0537]
  4%|▍         | 21/500 [00:12<02:03,  3.88it/s, MSE=5.468844e-02 H=5.095798e-02 dV_dx=-3.601039e-07 dV_dθ=-3.730096e-03 ||∇||=4.638757e-01 | Tr=0.0537]
  4%|▍         | 21/500 [00:13<02:03,  3.88it/s, MSE=5.149582e-02 H=4.836870e-02 dV_dx=1.340028e-07 dV_dθ=-3.127248e-03 ||∇||=4.247872e-01 | Tr=0.0507] 
  4%|▍         | 22/500 [00:13<02:01,  3.92it/s, MSE=5.149582e-02 H=4.836870e-02 dV_dx=1.340028e-07 dV_dθ=-3.127248e-03 ||∇||=4.247872e-01 | Tr=0.0507]
  4%|▍         | 22/500 [00:13<02:01,  3.92it/s, MSE=4.874963e-02 H=4.613524e-02 dV_dx=4.951731e-08 dV_dθ=-2.614437e-03 ||∇||=3.884553e-01 | Tr=0.0481]
  5%|▍         | 23/500 [00:13<02:12,  3.61it/s, MSE=4.874963e-02 H=4.613524e-02 dV_dx=4.951731e-08 dV_dθ=-2.614437e-03 ||∇||=3.884553e-01 | Tr=0.0481]
  5%|▍         | 23/500 [00:13<02:12,  3.61it/s, MSE=4.639697e-02 H=4.421620e-02 dV_dx=-3.720205e-07 dV_dθ=-2.180396e-03 ||∇||=3.548111e-01 | Tr=0.0458]
  5%|▍         | 24/500 [00:13<02:10,  3.65it/s, MSE=4.639697e-02 H=4.421620e-02 dV_dx=-3.720205e-07 dV_dθ=-2.180396e-03 ||∇||=3.548111e-01 | Tr=0.0458]
  5%|▍         | 24/500 [00:13<02:10,  3.65it/s, MSE=4.438890e-02 H=4.257442e-02 dV_dx=3.600425e-07 dV_dθ=-1.814848e-03 ||∇||=3.237773e-01 | Tr=0.0439] 
  5%|▌         | 25/500 [00:13<02:05,  3.79it/s, MSE=4.438890e-02 H=4.257442e-02 dV_dx=3.600425e-07 dV_dθ=-1.814848e-03 ||∇||=3.237773e-01 | Tr=0.0439]
  5%|▌         | 25/500 [00:14<02:05,  3.79it/s, MSE=4.268053e-02 H=4.117272e-02 dV_dx=6.919345e-07 dV_dθ=-1.508501e-03 ||∇||=2.952695e-01 | Tr=0.0423]
  5%|▌         | 26/500 [00:14<02:07,  3.70it/s, MSE=4.268053e-02 H=4.117272e-02 dV_dx=6.919345e-07 dV_dθ=-1.508501e-03 ||∇||=2.952695e-01 | Tr=0.0423]
  5%|▌         | 26/500 [00:14<02:07,  3.70it/s, MSE=4.123105e-02 H=3.997724e-02 dV_dx=-7.880288e-07 dV_dθ=-1.253020e-03 ||∇||=2.691976e-01 | Tr=0.0409]
  5%|▌         | 27/500 [00:14<02:02,  3.85it/s, MSE=4.123105e-02 H=3.997724e-02 dV_dx=-7.880288e-07 dV_dθ=-1.253020e-03 ||∇||=2.691976e-01 | Tr=0.0409]
  5%|▌         | 27/500 [00:14<02:02,  3.85it/s, MSE=4.000371e-02 H=3.896281e-02 dV_dx=8.298873e-08 dV_dθ=-1.040988e-03 ||∇||=2.454667e-01 | Tr=0.0398] 
  6%|▌         | 28/500 [00:14<02:01,  3.89it/s, MSE=4.000371e-02 H=3.896281e-02 dV_dx=8.298873e-08 dV_dθ=-1.040988e-03 ||∇||=2.454667e-01 | Tr=0.0398]
  6%|▌         | 28/500 [00:15<02:01,  3.89it/s, MSE=3.896573e-02 H=3.809934e-02 dV_dx=-5.434387e-07 dV_dθ=-8.658535e-04 ||∇||=2.239779e-01 | Tr=0.0388]
  6%|▌         | 29/500 [00:15<02:04,  3.78it/s, MSE=3.896573e-02 H=3.809934e-02 dV_dx=-5.434387e-07 dV_dθ=-8.658535e-04 ||∇||=2.239779e-01 | Tr=0.0388]
  6%|▌         | 29/500 [00:15<02:04,  3.78it/s, MSE=3.808813e-02 H=3.736665e-02 dV_dx=3.908830e-07 dV_dθ=-7.218682e-04 ||∇||=2.046279e-01 | Tr=0.0379] 
  6%|▌         | 30/500 [00:15<02:01,  3.87it/s, MSE=3.808813e-02 H=3.736665e-02 dV_dx=3.908830e-07 dV_dθ=-7.218682e-04 ||∇||=2.046279e-01 | Tr=0.0379]
  6%|▌         | 30/500 [00:15<02:01,  3.87it/s, MSE=3.734551e-02 H=3.674152e-02 dV_dx=3.181918e-08 dV_dθ=-6.040232e-04 ||∇||=1.873090e-01 | Tr=0.0372]
  6%|▌         | 31/500 [00:15<02:06,  3.71it/s, MSE=3.734551e-02 H=3.674152e-02 dV_dx=3.181918e-08 dV_dθ=-6.040232e-04 ||∇||=1.873090e-01 | Tr=0.0372]
  6%|▌         | 31/500 [00:15<02:06,  3.71it/s, MSE=3.671585e-02 H=3.620775e-02 dV_dx=-1.244692e-07 dV_dθ=-5.079822e-04 ||∇||=1.719085e-01 | Tr=0.0366]
